"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",13.9271559325676,3.47707426027589,1201,4.00542378161995,6.5708430250622e-05
"TreatmentOxazepam",-6.07924229784969,4.92150171984775,28,-1.2352413234629,0.227005481194542
"StimulusHigh",29.1125000000001,1.50359124361806,1201,19.3619776143064,6.67802052271309e-73
"ConditionOther",-7.88750000000005,1.50359124361806,1201,-5.24577409816548,1.8380825439188e-07
"IRI_EC_z",1.93584177413108,2.1718801526499,28,0.891320716646898,0.380352800865288
"IRI_EC_z_OtherHigh",6.50593256888377,1.18131388918272,1201,5.50736991112905,4.4516355431304e-08
"TreatmentOxazepam:StimulusHigh",8.28750000000001,2.1615486032693,1201,3.83405674407011,0.000132584812719953
"TreatmentOxazepam:ConditionOther",2.97416666666666,2.1615486032693,1201,1.3759425359061,0.16909594513539
"StimulusHigh:ConditionOther",-4.42114505305125,2.39423715111235,1201,-1.8465777506615,0.0650542556104214
"TreatmentOxazepam:StimulusHigh:ConditionOther",2.80168864405031,3.15616330501308,1201,0.887688111575298,0.37488627632048
