"","Value","Std.Error","DF","t-value","p-value"
"(Intercept)",-8.53986845748709,0.13977418978034,1124,-61.0976065817861,0
"TreatmentOxazepam",0.0181913434741097,0.194694794694061,26,0.0934351814731112,0.926274137086522
"StimulusHigh",0.58881206435833,0.0465957512342553,1124,12.6366041701557,2.5329624472923e-34
"ConditionOther",0.00435079775974895,0.0465957512342545,1124,0.0933732721225126,0.925623663918886
"IRI_EC_z",0.0874542212481735,0.116065997493923,26,0.753487008568145,0.45792677902185
"IRI_EC_z_OtherHigh",0.0331750722875747,0.0470613553772432,1124,0.704932359504816,0.480998374506962
"TreatmentOxazepam:StimulusHigh",-0.0197945192195139,0.067126578789291,1124,-0.294883480977758,0.768137346977947
"TreatmentOxazepam:ConditionOther",0.0263156838107807,0.0670627408580162,1124,0.392403941057162,0.694834171369446
"StimulusHigh:ConditionOther",-0.434448416374842,0.066193725647212,1124,-6.56328696001024,8.01948768601402e-11
"TreatmentOxazepam:StimulusHigh:ConditionOther",-0.0686029706880417,0.0948628413178978,1124,-0.723180644127495,0.469719367374098
